global_neuron_idx,local_neuron_idx,sae_idx,sae_config,correlation,p_value,abs_correlation
359,103,1,"(128, 6)",0.09545407650856294,7.000018335042109e-14,0.09545407650856294
78,78,0,"(256, 8)",0.09518229453956714,8.238543265987655e-14,0.09518229453956714
290,34,1,"(128, 6)",-0.09492624244411274,9.601188682461998e-14,0.09492624244411274
373,117,1,"(128, 6)",-0.09407190560624443,1.5953160214556047e-13,0.09407190560624443
115,115,0,"(256, 8)",0.0940413467040461,1.6244197120629096e-13,0.0940413467040461
410,26,2,"(64, 4)",-0.09375388423668035,1.9250117078843065e-13,0.09375388423668035
335,79,1,"(128, 6)",0.09364866542782918,2.0481740145221817e-13,0.09364866542782918
97,97,0,"(256, 8)",-0.09360970899235047,2.095710136946062e-13,0.09360970899235047
379,123,1,"(128, 6)",0.0934765386815005,2.2665380557199654e-13,0.0934765386815005
86,86,0,"(256, 8)",0.0930006888648969,2.996247416719753e-13,0.0930006888648969
219,219,0,"(256, 8)",-0.09295871262568789,3.070727079270052e-13,0.09295871262568789
278,22,1,"(128, 6)",-0.09276639525774943,3.4358688962530924e-13,0.09276639525774943
439,55,2,"(64, 4)",-0.09273094619032224,3.50768021912804e-13,0.09273094619032224
137,137,0,"(256, 8)",0.09245387225596916,4.1221056579573973e-13,0.09245387225596916
162,162,0,"(256, 8)",0.09244210165979641,4.1504242583309553e-13,0.09244210165979641
126,126,0,"(256, 8)",-0.09200769868930736,5.340317474045439e-13,0.09200769868930736
130,130,0,"(256, 8)",-0.09184157254683106,5.878938984423198e-13,0.09184157254683106
305,49,1,"(128, 6)",-0.09149098798465151,7.196559707206644e-13,0.09149098798465151
341,85,1,"(128, 6)",0.09145005517602996,7.368136159807448e-13,0.09145005517602996
161,161,0,"(256, 8)",-0.09087036739848792,1.027520124811042e-12,0.09087036739848792
294,38,1,"(128, 6)",-0.09076827492002669,1.0892661408927292e-12,0.09076827492002669
31,31,0,"(256, 8)",-0.09050675814114448,1.2645211936703728e-12,0.09050675814114448
84,84,0,"(256, 8)",-0.09023186715637564,1.4785438838584772e-12,0.09023186715637564
133,133,0,"(256, 8)",-0.0900771563875073,1.6142262635702836e-12,0.0900771563875073
138,138,0,"(256, 8)",-0.09003790392523739,1.6505489910776996e-12,0.09003790392523739
345,89,1,"(128, 6)",0.0897924224829571,1.8965867004817453e-12,0.0897924224829571
234,234,0,"(256, 8)",-0.08978435181429309,1.9052584391605318e-12,0.08978435181429309
263,7,1,"(128, 6)",-0.08932698014995663,2.4657261837290315e-12,0.08932698014995663
331,75,1,"(128, 6)",-0.08893514858283463,3.0721507845098395e-12,0.08893514858283463
434,50,2,"(64, 4)",0.08874514326304897,3.416669481293486e-12,0.08874514326304897
264,8,1,"(128, 6)",0.08821894148865822,4.580743257225683e-12,0.08821894148865822
69,69,0,"(256, 8)",-0.08812602478804799,4.823291332731058e-12,0.08812602478804799
203,203,0,"(256, 8)",-0.08705617872829015,8.703268696319283e-12,0.08705617872829015
156,156,0,"(256, 8)",-0.08611813923534634,1.4518599040028424e-11,0.08611813923534634
32,32,0,"(256, 8)",0.0859893933259232,1.5568406909737637e-11,0.0859893933259232
356,100,1,"(128, 6)",-0.08501849057239988,2.6270378878544333e-11,0.08501849057239988
225,225,0,"(256, 8)",0.08450855714314338,3.4498513585099865e-11,0.08450855714314338
131,131,0,"(256, 8)",0.08400794566606695,4.500878048808018e-11,0.08400794566606695
204,204,0,"(256, 8)",-0.08329547781484077,6.554220506440954e-11,0.08329547781484077
30,30,0,"(256, 8)",-0.08320478498237217,6.873872951448555e-11,0.08320478498237217
311,55,1,"(128, 6)",-0.08258523556836005,9.503648508787518e-11,0.08258523556836005
216,216,0,"(256, 8)",-0.08241429828873384,1.0387894504233929e-10,0.08241429828873384
118,118,0,"(256, 8)",-0.08230383623588924,1.100155505104316e-10,0.08230383623588924
91,91,0,"(256, 8)",-0.08169352865383167,1.5086538572468222e-10,0.08169352865383167
46,46,0,"(256, 8)",-0.08121960833728609,1.9248474605129265e-10,0.08121960833728609
333,77,1,"(128, 6)",-0.08108880789372705,2.0582283986486552e-10,0.08108880789372705
98,98,0,"(256, 8)",0.08053414965509001,2.7313379440983653e-10,0.08053414965509001
111,111,0,"(256, 8)",-0.08047546179124296,2.8140361574633297e-10,0.08047546179124296
140,140,0,"(256, 8)",-0.08039193227583175,2.9359690202663427e-10,0.08039193227583175
198,198,0,"(256, 8)",-0.07971568991460358,4.132471831630201e-10,0.07971568991460358
122,122,0,"(256, 8)",-0.07941826519896902,4.798668811290508e-10,0.07941826519896902
45,45,0,"(256, 8)",-0.07862242390657198,7.139279093526419e-10,0.07862242390657198
194,194,0,"(256, 8)",-0.07829875012964596,8.381945077713896e-10,0.07829875012964596
189,189,0,"(256, 8)",0.07739528043150433,1.3073856647815526e-09,0.07739528043150433
364,108,1,"(128, 6)",-0.07726242413809886,1.3951183740081026e-09,0.07726242413809886
75,75,0,"(256, 8)",0.07719324531720355,1.4430462410599504e-09,0.07719324531720355
295,39,1,"(128, 6)",0.07699357220819839,1.5905576232996045e-09,0.07699357220819839
120,120,0,"(256, 8)",0.07603596087009434,2.5281489181533006e-09,0.07603596087009434
298,42,1,"(128, 6)",-0.0759592237867551,2.623161032449365e-09,0.0759592237867551
245,245,0,"(256, 8)",0.07530807282285189,3.58224954390553e-09,0.07530807282285189
382,126,1,"(128, 6)",0.07450401407562816,5.244709340265157e-09,0.07450401407562816
211,211,0,"(256, 8)",-0.07432572707791549,5.704293173163952e-09,0.07432572707791549
248,248,0,"(256, 8)",-0.0737098214719791,7.61344328383264e-09,0.0737098214719791
39,39,0,"(256, 8)",-0.07328451531186317,9.280611166716655e-09,0.07328451531186317
151,151,0,"(256, 8)",0.07317537971433474,9.762624320783832e-09,0.07317537971433474
67,67,0,"(256, 8)",-0.07271184865470526,1.2095253632286472e-08,0.07271184865470526
